Behavior,Precision,Recall,F1-Score,Support
Drinking,1.000,0.500,0.667,2
SittingDrink,1.000,0.500,0.667,2
Eating,0.000,0.000,0.000,2
Cooking,0.000,0.000,0.000,2
Opening,0.000,0.000,0.000,2
Laying,0.000,0.000,0.000,2
Watching,0.250,1.000,0.400,1
Reading,0.000,0.000,0.000,2
Cleaning,1.000,0.500,0.667,2
PhoneUse,0.500,1.000,0.667,2
Typing,1.000,1.000,1.000,1

Macro Avg,0.432,0.409,0.370,
