Behavior,Precision,Recall,F1-Score,Support
Drinking,0.000,0.000,0.000,2
SittingDrink,1.000,0.500,0.667,2
Eating,0.000,0.000,0.000,2
Cooking,0.000,0.000,0.000,2
Opening,0.000,0.000,0.000,2
Laying,1.000,0.500,0.667,2
Watching,0.125,1.000,0.222,1
Reading,1.000,0.500,0.667,2
Cleaning,0.000,0.000,0.000,2
PhoneUse,0.000,0.000,0.000,2
Typing,0.500,1.000,0.667,1

Macro Avg,0.330,0.318,0.263,
